Target_Type	Trial_Type	Display_Size	Target	Response	Key_press	RT	Uncertainty	Time	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur
conjunction	positive	15	T_green	incorrect	F	13502	2	7938373	1	13668	1	0	next
conjunction	positive	5	T_green	incorrect	F	6020	2	7977375	1	6167	1	0	next
conjunction	positive	15	T_green	hit	J	7159	2	8008877	1	7334	1	0	next
conjunction	positive	5	T_green	hit	J	6333	2	8041546	1	6500	1	0	next
conjunction	negative	30	Null	hit	F	27137	2	8073381	1	27168	1	0	next
conjunction	positive	15	T_green	hit	J	12715	2	8125885	1	12834	1	0	next
conjunction	positive	5	T_green	incorrect	F	9907	2	8164054	1	10001	1	0	next
conjunction	negative	15	Null	hit	F	12493	2	8199390	1	12668	1	0	next
conjunction	positive	5	T_green	hit	J	5051	2	8237392	1	5167	1	0	next
conjunction	positive	5	T_green	hit	J	5435	2	8267894	1	5500	1	0	next
conjunction	positive	5	T_green	hit	J	8196	2	8298729	1	8334	1	0	next
conjunction	negative	5	Null	hit	F	11168	2	8332398	1	11334	1	0	next
conjunction	negative	1	Null	hit	F	5863	2	8369067	1	6000	1	0	next
conjunction	negative	30	Null	hit	F	24450	2	8400402	1	24502	1	0	next
conjunction	negative	1	Null	hit	F	5489	2	8450239	1	5667	1	0	next
conjunction	negative	1	Null	hit	F	5207	2	8481241	1	5334	1	0	next
conjunction	negative	30	Null	hit	F	23020	2	8511910	1	23168	1	0	next
conjunction	positive	5	T_green	hit	J	7640	2	8560413	1	7834	1	0	next
conjunction	negative	5	Null	hit	F	8233	2	8593581	1	8334	1	0	next
conjunction	negative	30	Null	hit	F	22881	2	8627250	1	23001	1	0	next
conjunction	negative	30	Null	hit	F	14227	2	8675587	1	14334	1	0	next
conjunction	negative	30	Null	hit	F	23040	2	8715256	1	23168	1	0	next
conjunction	negative	30	Null	hit	F	19496	2	8763759	1	19668	1	0	next
conjunction	positive	15	T_green	hit	J	7781	2	8808762	1	7834	1	0	next
conjunction	positive	5	T_green	hit	J	4687	2	8841931	1	4834	1	0	next
conjunction	negative	30	Null	hit	F	22843	2	8872099	1	23002	1	0	next
conjunction	positive	5	T_green	hit	J	7944	2	8920436	1	8001	1	0	next
conjunction	positive	15	T_green	hit	J	10929	2	8953771	1	11001	1	0	next
conjunction	positive	15	T_green	hit	J	6280	2	8990107	1	6334	1	0	next
conjunction	positive	15	T_green	hit	J	10611	2	9021776	1	10667	1	0	next
conjunction	positive	1	T_green	hit	J	6918	2	9577478	1	7000	1	0	next
conjunction	negative	15	Null	hit	F	14423	2	9609813	1	14501	1	0	next
conjunction	positive	5	T_green	hit	J	4988	2	9649649	1	5167	1	0	next
conjunction	negative	15	Null	hit	F	12248	2	9680151	1	12334	1	0	next
conjunction	negative	5	Null	hit	F	5939	2	9717820	1	6000	1	0	next
conjunction	positive	1	T_green	hit	J	4524	2	9749156	1	4667	1	0	next
conjunction	negative	1	Null	hit	F	6204	2	9779158	1	6334	1	0	next
conjunction	positive	5	T_green	hit	J	10216	2	9810826	1	10334	1	0	next
conjunction	negative	1	Null	hit	F	5591	2	9846495	1	5667	1	0	next
conjunction	positive	1	T_green	hit	J	4507	2	9877497	1	4667	1	0	next
conjunction	positive	15	T_green	hit	J	14185	2	9907499	1	14334	1	0	next
conjunction	negative	15	Null	hit	F	15157	2	9947168	1	15334	1	0	next
conjunction	positive	1	T_green	hit	J	4410	2	9987838	1	4500	1	0	next
conjunction	positive	30	T_green	incorrect	F	12975	2	10017673	1	13168	1	0	next
conjunction	negative	5	Null	hit	F	10474	2	10056175	1	10667	1	0	next
conjunction	positive	5	T_green	hit	J	4872	2	10092178	1	5000	1	0	next
conjunction	negative	15	Null	hit	F	17099	2	10122513	1	17168	1	0	next
conjunction	positive	15	T_green	hit	J	8516	2	10165016	1	8667	1	0	next
conjunction	positive	15	T_green	incorrect	F	14675	2	10199018	1	14834	1	0	next
conjunction	negative	30	Null	hit	F	36427	2	10239187	1	36502	1	0	next
conjunction	negative	30	Null	hit	F	17630	2	10301024	1	17668	1	0	next
conjunction	negative	15	Null	hit	F	14630	2	10344027	1	14834	1	0	next
conjunction	positive	5	T_green	hit	J	7104	2	10384196	1	7167	1	0	next
conjunction	negative	15	Null	hit	F	14922	2	10416698	1	15001	1	0	next
conjunction	negative	5	Null	hit	F	7063	2	10457034	1	7167	1	0	next
conjunction	positive	1	T_green	hit	J	4484	2	10489537	1	4667	1	0	next
conjunction	negative	1	Null	hit	F	5681	2	10519538	1	5834	1	0	next
conjunction	positive	30	T_green	incorrect	F	17875	2	10550707	1	18001	1	0	next
conjunction	negative	30	Null	hit	F	23501	2	10594043	1	23668	1	0	next
conjunction	positive	30	T_green	hit	J	15458	2	10643046	1	15501	1	0	next
conjunction	negative	1	Null	hit	F	6302	2	10683882	1	6334	1	0	next
conjunction	positive	15	T_green	hit	J	10637	2	10715551	1	10667	1	0	next
conjunction	positive	15	T_green	hit	J	12232	2	10751553	1	12334	1	0	next
conjunction	negative	1	Null	hit	F	4965	2	10789222	1	5000	1	0	next
conjunction	negative	1	Null	hit	F	5349	2	10819558	1	5500	1	0	next
conjunction	positive	5	T_green	hit	J	5240	2	10850393	1	5334	1	0	next
conjunction	positive	30	T_green	incorrect	F	14087	2	10881062	1	14168	1	0	next
conjunction	positive	30	T_green	incorrect	F	19387	2	10920564	1	19501	1	0	next
conjunction	positive	1	T_green	hit	J	4952	2	10965400	1	5000	1	0	next
conjunction	negative	15	Null	hit	F	10141	2	10995736	1	10334	1	0	next
conjunction	positive	15	T_green	hit	J	9834	2	11031405	1	10001	1	0	next
conjunction	negative	1	Null	hit	F	5853	2	11066740	1	6000	1	0	next
conjunction	negative	1	Null	incorrect	J	4440	2	11098076	1	4500	1	0	next
conjunction	negative	15	Null	hit	F	11565	2	11127911	1	11667	1	0	next
conjunction	negative	5	Null	hit	F	8322	2	11164913	1	8501	1	0	next
conjunction	negative	30	Null	hit	F	21688	2	11198749	1	21835	1	0	next
conjunction	negative	5	Null	hit	F	6200	2	11245918	1	6334	1	0	next
conjunction	positive	5	T_green	hit	J	5414	2	11277587	1	5500	1	0	next
conjunction	positive	1	T_green	hit	J	3858	2	11308422	1	4000	1	0	next
conjunction	positive	30	T_green	incorrect	F	16125	2	11337758	1	16168	1	0	next
conjunction	negative	30	Null	hit	F	18303	2	11379260	1	18501	1	0	next
conjunction	positive	15	T_green	hit	J	11110	2	11423096	1	11167	1	0	next
conjunction	negative	15	Null	hit	F	12365	2	11459599	1	12501	1	0	next
conjunction	negative	5	Null	hit	F	6690	2	11497435	1	6834	1	0	next
conjunction	positive	30	T_green	hit	J	6523	2	11529603	1	6667	1	0	next
conjunction	negative	1	Null	hit	F	4762	2	11561605	1	4834	1	0	next
conjunction	positive	15	T_green	hit	J	4995	2	11591774	1	5167	1	0	next
conjunction	positive	1	T_green	hit	J	3939	2	11622276	1	4000	1	0	next
conjunction	negative	30	Null	hit	F	8517	2	11651611	1	8667	1	0	next
conjunction	positive	30	T_green	hit	J	11157	2	11685613	1	11334	1	0	next
conjunction	positive	1	T_green	hit	J	4408	2	11722282	1	4500	1	0	next
conjunction	negative	1	Null	hit	F	4813	2	11752118	1	5000	1	0	next
conjunction	positive	5	T_green	hit	J	7440	2	11782453	1	7500	1	0	next
conjunction	negative	5	Null	hit	F	9168	2	11815288	1	9334	1	0	next
conjunction	negative	1	Null	hit	F	5376	2	11849957	1	5500	1	0	next
conjunction	negative	30	Null	hit	F	13104	2	11880792	1	13168	1	0	next
conjunction	negative	5	Null	hit	F	8520	2	11919295	1	8667	1	0	next
conjunction	negative	30	Null	hit	F	18039	2	11953297	1	18168	1	0	next
conjunction	positive	1	T_green	hit	J	4138	2	11996800	1	4167	1	0	next
conjunction	negative	5	Null	hit	F	6477	2	12026302	1	6667	1	0	next
conjunction	negative	15	Null	hit	F	10156	2	12058304	1	10334	1	0	next
conjunction	positive	5	T_green	hit	J	4728	2	12093973	1	4834	1	0	next
conjunction	positive	1	T_green	hit	J	3679	2	12124141	1	3834	1	0	next
conjunction	positive	30	T_green	hit	J	5716	2	12153310	1	5834	1	0	next
conjunction	positive	30	T_green	hit	J	14544	2	12184479	1	14668	1	0	next
conjunction	positive	5	T_green	hit	J	5902	2	12224481	1	6000	1	0	next
conjunction	positive	15	T_green	hit	J	5288	2	12255817	1	5334	1	0	next
conjunction	negative	1	Null	hit	F	5821	2	12286485	1	6000	1	0	next
conjunction	negative	5	Null	hit	F	6165	2	12317821	1	6334	1	0	next
conjunction	positive	1	T_green	hit	J	5218	2	12349489	1	5334	1	0	next
conjunction	negative	5	Null	hit	F	6388	2	12380158	1	6500	1	0	next
conjunction	negative	15	Null	hit	F	7835	2	12411993	1	8000	1	0	next
conjunction	positive	30	T_green	hit	J	10981	2	12445329	1	11167	1	0	next
conjunction	positive	15	T_green	hit	J	10801	2	12481831	1	11001	1	0	next
conjunction	positive	1	T_green	hit	J	5825	2	12518167	1	6000	1	0	next
conjunction	positive	1	T_green	hit	J	3929	2	12549502	1	4000	1	0	next
conjunction	positive	15	T_green	hit	J	8516	2	12578837	1	8667	1	0	next
